"","SiteUID","Paper_ID","Treatment","UniqueFragID","Fragment_size_ha","Response","Sample_size_sum","Mist_net_hours","site_value","Cont_Paper_ID","Cont_SiteUID","Cont_UniqueFragID","Cont_Fragment_size_ha","Cont_Sample_size_sum","Cont_Value","lnRR","Comparison","Type","Partner_Paper_ID","Partner_SiteUID","Partner_UniqueFragID","Partner_Fragment_size_ha","Partner_site_value","Partner_Sample_size_sum","Response_site","Mist_net_hours_site","Sample_size","Rate","Treatment_site","UniqueFragID_site","Unique_name","Rainfall_mm","Elevation","Matrix_mean","Fragment_size_ha_site","Latitude","Longitude","Forest_Group","Forest_type","Country","Publication.Year","SiteUID_new","Cont_loc_key_new","Cont_SiteUID_generated_new","Cont_SiteUID_new","pooled_cont_new","Value"
"24","Frag__2_17.22_-89.62_15_NA",2,"Frag","2_17.22_-89.62_15_NA",15,84,1,25,3.36,NA,NA,NA,NA,NA,NA,0.251892327021818,"Frag_vs_Frag","AB_level",2,"Frag__2_17.22_-89.62_75_NA","2_17.22_-89.62_75_NA",75,2.61111111111111,1,84,25,1,3.36,"Frag","2_17.22_-89.62_15_NA",NA,1350,180,"Agriculture",15,17.22,-89.62,"Tropical_Lowland","Lowland Tropical Forest","Guatemala",2000,"Frag__2_17.22_-89.62_15_NA",NA,NA,NA,FALSE,3.36
"25","Frag__2_17.22_-89.62_75_NA",2,"Frag","2_17.22_-89.62_75_NA",75,94,1,36,2.61111111111111,NA,NA,NA,NA,NA,NA,-0.599716813520484,"Frag_vs_Frag","AB_level",2,"Frag__2_17.22_-89.62_200_NA","2_17.22_-89.62_200_NA",200,4.75903614457831,1,94,36,1,2.61111111111111,"Frag","2_17.22_-89.62_75_NA",NA,1350,180,"Agriculture",75,17.22,-89.62,"Tropical_Lowland","Lowland Tropical Forest","Guatemala",2000,"Frag__2_17.22_-89.62_75_NA",NA,NA,NA,FALSE,2.61111111111111
"26","Frag__2_17.22_-89.62_3.5_NA",2,"Frag","2_17.22_-89.62_3.5_NA",3.5,9,1,17,0.529411764705882,NA,NA,NA,NA,NA,NA,-1.5909640319272,"Frag_vs_Frag","AB_level",2,"Frag__2_17.22_-89.62_75_NA","2_17.22_-89.62_75_NA",75,2.61111111111111,1,9,17,1,0.529411764705882,"Frag","2_17.22_-89.62_3.5_NA",NA,1350,180,"Agriculture",3.5,17.22,-89.62,"Tropical_Lowland","Lowland Tropical Forest","Guatemala",2000,"Frag__2_17.22_-89.62_3.5_NA",NA,NA,NA,FALSE,0.529411764705882
"27","Frag__2_17.22_-89.62_5_NA",2,"Frag","2_17.22_-89.62_5_NA",5,47,1,41,1.14634146341463,NA,NA,NA,NA,NA,NA,-0.821637780101274,"Frag_vs_Frag","AB_level",2,"Frag__2_17.22_-89.62_75_NA","2_17.22_-89.62_75_NA",75,2.61111111111111,1,47,41,1,1.14634146341463,"Frag","2_17.22_-89.62_5_NA",NA,1350,180,"Agriculture",5,17.22,-89.62,"Tropical_Lowland","Lowland Tropical Forest","Guatemala",2000,"Frag__2_17.22_-89.62_5_NA",NA,NA,NA,FALSE,1.14634146341463
"28","Frag__2_17.22_-89.62_9_NA",2,"Frag","2_17.22_-89.62_9_NA",9,35,1,39,0.897435897435897,NA,NA,NA,NA,NA,NA,-0.26988960576299,"Frag_vs_Frag","AB_level",2,"Frag__2_17.22_-89.62_10_NA","2_17.22_-89.62_10_NA",10,1.17647058823529,1,35,39,1,0.897435897435897,"Frag","2_17.22_-89.62_9_NA",NA,1350,180,"Agriculture",9,17.22,-89.62,"Tropical_Lowland","Lowland Tropical Forest","Guatemala",2000,"Frag__2_17.22_-89.62_9_NA",NA,NA,NA,FALSE,0.897435897435897
"29","Frag__2_17.22_-89.62_9_NA",2,"Frag","2_17.22_-89.62_9_NA",9,35,1,39,0.897435897435897,NA,NA,NA,NA,NA,NA,-1.31754759806588,"Frag_vs_Frag","AB_level",2,"Frag__2_17.22_-89.62_15_NA","2_17.22_-89.62_15_NA",15,3.36,1,35,39,1,0.897435897435897,"Frag","2_17.22_-89.62_9_NA",NA,1350,180,"Agriculture",9,17.22,-89.62,"Tropical_Lowland","Lowland Tropical Forest","Guatemala",2000,"Frag__2_17.22_-89.62_9_NA",NA,NA,NA,FALSE,0.897435897435897
"30","Frag__2_17.22_-89.62_9_NA",2,"Frag","2_17.22_-89.62_9_NA",9,35,1,39,0.897435897435897,NA,NA,NA,NA,NA,NA,-1.66537208456455,"Frag_vs_Frag","AB_level",2,"Frag__2_17.22_-89.62_200_NA","2_17.22_-89.62_200_NA",200,4.75903614457831,1,35,39,1,0.897435897435897,"Frag","2_17.22_-89.62_9_NA",NA,1350,180,"Agriculture",9,17.22,-89.62,"Tropical_Lowland","Lowland Tropical Forest","Guatemala",2000,"Frag__2_17.22_-89.62_9_NA",NA,NA,NA,FALSE,0.897435897435897
"31","Frag__2_17.22_-89.62_3.5_NA",2,"Frag","2_17.22_-89.62_3.5_NA",3.5,9,1,17,0.529411764705882,NA,NA,NA,NA,NA,NA,-0.525308760883133,"Frag_vs_Frag","AB_level",2,"Frag__2_17.22_-89.62_9_NA","2_17.22_-89.62_9_NA",9,0.897435897435897,1,9,17,1,0.529411764705882,"Frag","2_17.22_-89.62_3.5_NA",NA,1350,180,"Agriculture",3.5,17.22,-89.62,"Tropical_Lowland","Lowland Tropical Forest","Guatemala",2000,"Frag__2_17.22_-89.62_3.5_NA",NA,NA,NA,FALSE,0.529411764705882
"32","Frag__2_17.22_-89.62_5_NA",2,"Frag","2_17.22_-89.62_5_NA",5,47,1,41,1.14634146341463,NA,NA,NA,NA,NA,NA,0.244017490942788,"Frag_vs_Frag","AB_level",2,"Frag__2_17.22_-89.62_9_NA","2_17.22_-89.62_9_NA",9,0.897435897435897,1,47,41,1,1.14634146341463,"Frag","2_17.22_-89.62_5_NA",NA,1350,180,"Agriculture",5,17.22,-89.62,"Tropical_Lowland","Lowland Tropical Forest","Guatemala",2000,"Frag__2_17.22_-89.62_5_NA",NA,NA,NA,FALSE,1.14634146341463
"33","Frag__2_17.22_-89.62_9_NA",2,"Frag","2_17.22_-89.62_9_NA",9,35,1,39,0.897435897435897,NA,NA,NA,NA,NA,NA,-1.06565527104406,"Frag_vs_Frag","AB_level",2,"Frag__2_17.22_-89.62_75_NA","2_17.22_-89.62_75_NA",75,2.61111111111111,1,35,39,1,0.897435897435897,"Frag","2_17.22_-89.62_9_NA",NA,1350,180,"Agriculture",9,17.22,-89.62,"Tropical_Lowland","Lowland Tropical Forest","Guatemala",2000,"Frag__2_17.22_-89.62_9_NA",NA,NA,NA,FALSE,0.897435897435897
